Episode,Reward,Steps,Success,Collisions
672,346.57,46,0,0
673,345.68,141,0,0
674,343.35,144,0,0
675,345.63,94,0,0
676,343.6,152,0,0
677,344.88,95,0,0
678,346.42,69,0,0
679,345.51,74,0,0
680,342.66,125,0,0
681,345.42,94,0,0
682,345.57,113,0,0
683,345.5,82,0,0
684,346.62,65,0,0
685,346.86,67,0,0
686,347.54,81,0,0
687,345.6,114,0,0
688,346.16,124,0,0
689,347.41,52,0,0
690,343.97,113,0,0
691,345.81,77,0,0
692,346.96,67,0,0
693,346.29,62,0,0
694,345.99,91,0,0
695,346.23,86,0,0
696,342.76,185,0,0
697,343.33,160,0,0
698,342.48,129,0,0
699,346.46,85,0,0
700,345.0,180,0,0
701,347.78,76,0,0
702,345.78,106,0,0
703,346.95,50,0,0
704,344.41,102,0,0
705,345.58,87,0,0
706,345.99,78,0,0
707,343.29,124,0,0
708,345.18,136,0,0
709,342.85,128,0,0
710,341.68,142,0,0
711,345.69,86,0,0
712,344.09,122,0,0
713,344.62,133,0,0
714,345.46,81,0,0
715,344.59,118,0,0
716,347.17,54,0,0
717,345.33,83,0,0
718,343.33,125,0,0
719,347.24,54,0,0
720,345.81,76,0,0
721,345.82,85,0,0
722,346.06,94,0,0
723,346.81,80,0,0
724,346.77,94,0,0
725,345.21,71,0,0
726,345.32,93,0,0
727,346.33,66,0,0
728,343.82,182,0,0
729,347.92,66,0,0
730,343.77,110,0,0
731,346.78,74,0,0
732,345.46,70,0,0
733,344.88,75,0,0
734,347.46,47,0,0
735,347.09,61,0,0
736,345.75,103,0,0
737,347.32,56,0,0
738,344.75,127,0,0
739,343.72,78,0,0
740,346.58,80,0,0
741,344.28,93,0,0
742,345.4,90,0,0
743,345.54,109,0,0
744,347.05,47,0,0
745,342.18,149,0,0
746,342.79,157,0,0
747,346.46,78,0,0
748,346.66,107,0,0
749,344.32,95,0,0
750,342.42,191,0,0
751,345.29,76,0,0
752,344.0,118,0,0
753,346.58,75,0,0
754,344.88,119,0,0
755,347.52,72,0,0
756,346.21,101,0,0
757,345.18,105,0,0
758,346.34,82,0,0
759,343.56,136,0,0
760,347.27,59,0,0
761,343.76,114,0,0
762,345.7,100,0,0
763,346.44,67,0,0
764,345.93,86,0,0
765,345.44,117,0,0
766,344.42,98,0,0
767,345.75,95,0,0
768,347.41,84,0,0
769,345.64,85,0,0
770,345.26,92,0,0
771,345.57,132,0,0
772,346.7,53,0,0
773,346.11,78,0,0
774,346.48,75,0,0
775,346.25,73,0,0
776,346.01,94,0,0
777,343.97,142,0,0
778,344.06,134,0,0
779,345.4,100,0,0
780,345.65,111,0,0
781,346.96,62,0,0
782,344.97,124,0,0
783,345.51,73,0,0
784,346.46,90,0,0
785,346.03,90,0,0
786,346.53,61,0,0
787,346.62,86,0,0
788,345.73,80,0,0
789,346.53,80,0,0
790,346.77,78,0,0
791,346.47,85,0,0
792,346.25,86,0,0
793,344.11,104,0,0
794,347.44,70,0,0
795,344.22,130,0,0
796,346.77,88,0,0
797,346.35,76,0,0
798,345.66,108,0,0
799,344.68,94,0,0
800,343.14,96,0,0
801,344.01,110,0,0
802,346.19,81,0,0
803,344.95,114,0,0
804,346.36,73,0,0
805,347.68,75,0,0
806,345.37,86,0,0
807,346.94,76,0,0
808,345.97,90,0,0
809,345.31,92,0,0
810,346.43,81,0,0
811,347.2,87,0,0
812,344.38,86,0,0
813,346.5,89,0,0
814,344.64,93,0,0
815,346.57,56,0,0
816,343.45,110,0,0
817,344.55,75,0,0
818,346.8,113,0,0
819,346.52,97,0,0
820,346.68,67,0,0
821,346.75,51,0,0
822,346.81,78,0,0
823,346.6,68,0,0
824,345.6,64,0,0
825,345.28,88,0,0
826,343.67,124,0,0
827,345.19,72,0,0
828,346.81,72,0,0
829,346.39,76,0,0
830,344.18,137,0,0
831,345.23,76,0,0
832,344.38,102,0,0
833,347.27,76,0,0
834,346.28,71,0,0
835,343.29,107,0,0
836,344.26,101,0,0
837,346.29,68,0,0
838,346.58,100,0,0
839,344.71,95,0,0
840,346.61,83,0,0
841,345.73,100,0,0
842,346.58,60,0,0
843,344.02,115,0,0
844,346.1,71,0,0
845,345.91,103,0,0
846,344.38,93,0,0
847,345.22,94,0,0
848,343.97,114,0,0
